L1_ASSOC,L2_ASSOC,L1_INSTRUCTION_CACHE_HITS,L1_INSTRUCTION_CACHE_HIT_RATE,L1_DATA_CACHE_HITS,L1_DATA_CACHE_HIT_RATE,L2_CACHE_HITS,L2_CACHE_HIT_RATE,L1_INSTRUCTION_CACHE_MISSES,L1_INSTRUCTION_CACHE_MISS_RATE,L1_DATA_CACHE_MISSES,L1_DATA_CACHE_MISS_RATE,L2_CACHE_MISS,L2_CACHE_MISS_RATE,AMAT
1,128,673955,0.889896,201911,0.83207,104692,0.843365,83386,0.110104,40750,0.16793,19444,0.156635,4.185754
2,128,677766,0.894928,211062,0.869781,91652,0.824401,79575,0.105072,31599,0.130219,19522,0.175599,4.063934
4,128,677887,0.895088,215518,0.888144,87082,0.816927,79454,0.104912,27143,0.111856,19515,0.183073,4.017464
8,128,678211,0.895516,216996,0.894235,85159,0.812625,79130,0.104484,25665,0.105765,19636,0.187375,4.011544
16,128,678176,0.89547,217822,0.897639,84528,0.812738,79165,0.10453,24839,0.102361,19476,0.187262,3.987634
32,128,678069,0.895329,217864,0.897812,84495,0.811913,79272,0.104671,24797,0.102188,19574,0.188087,3.998084
